SOURCE MATERIAL,BINDER(Kg/m^3),FLY-ASH %,SLAG %,rest period hours,CURING TEMPERATURE,CURING PERIOD,NaOH/Na2SiO3,superplasticizer,extra water added,MOLARITY,ALKALINE ACTIVATOR /BINDER RATIO,COMPRESSIVE STRENGTH (MPa)
Class F Fly-Ash,400.0,1.0,0.0,24.0,50.0,48,0.4,10.5,35.0,12.0,0.35,18.0
Class F Fly-Ash,400.0,1.0,0.0,24.0,50.0,48,0.4,10.5,35.0,16.0,0.45,30.0
Class F Fly-Ash,400.0,1.0,0.0,24.0,50.0,48,0.4,10.5,35.0,16.0,0.4,32.0
Class F Fly-Ash,400.0,1.0,0.0,24.0,50.0,48,0.4,10.5,35.0,16.0,0.35,27.0
Class F Fly-Ash,400.0,1.0,0.0,24.0,50.0,48,0.4,10.5,35.0,16.0,0.3,17.5
Class F Fly-Ash,400.0,1.0,0.0,24.0,50.0,48,0.3,10.5,35.0,16.0,0.35,36.0
Class F Fly-Ash,400.0,1.0,0.0,24.0,50.0,48,0.4,10.5,35.0,16.0,0.35,27.0
Class F Fly-Ash,400.0,1.0,0.0,24.0,50.0,48,0.5,10.5,35.0,16.0,0.35,25.0
Class F Fly-Ash,383.0,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,8.0,0.3,29.62
Class F Fly-Ash,383.0,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,10.0,0.3,31.39
Class F Fly-Ash,383.0,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,12.0,0.3,33.17
Class F Fly-Ash,463.5,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,8.0,0.3,32.43
Class F Fly-Ash,463.5,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,10.0,0.3,34.21
Class F Fly-Ash,463.5,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,12.0,0.3,35.98
Class F Fly-Ash,530.0,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,8.0,0.3,42.8
Class F Fly-Ash,530.0,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,10.0,0.3,45.02
Class F Fly-Ash,530.0,1.0,0.0,24.0,90.0,24,0.67,0.0,0.0,12.0,0.3,47.24
Class F Fly-Ash,400.0,1.0,0.0,0.0,60.0,6,0.4,0.0,0.0,15.0,0.61,2.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,60.0,12,0.4,0.0,0.0,15.0,0.61,6.3
Class F Fly-Ash,400.0,1.0,0.0,0.0,60.0,18,0.4,0.0,0.0,15.0,0.61,6.1
Class F Fly-Ash,400.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,15.0,0.61,7.8
Class F Fly-Ash,400.0,1.0,0.0,0.0,90.0,6,0.4,0.0,0.0,15.0,0.61,20.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,90.0,12,0.4,0.0,0.0,15.0,0.61,22.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,90.0,18,0.4,0.0,0.0,15.0,0.61,41.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,90.0,24,0.4,0.0,0.0,15.0,0.61,44.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,120.0,6,0.4,0.0,0.0,15.0,0.61,38.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,120.0,12,0.4,0.0,0.0,15.0,0.61,38.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,120.0,18,0.4,0.0,0.0,15.0,0.61,59.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,120.0,24,0.4,0.0,0.0,15.0,0.61,60.0
Class F Fly-Ash,425.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,8.0,0.35,37.36
Class F Fly-Ash,425.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,10.0,0.35,40.29
Class F Fly-Ash,425.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,12.0,0.35,42.44
Class F Fly-Ash,425.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,14.0,0.35,43.0
Class F Fly-Ash,425.0,1.0,0.0,0.0,60.0,24,0.4,0.0,0.0,16.0,0.35,44.14
Class F Fly-Ash,420.57,1.0,0.0,0.0,100.0,24,0.4,0.0,0.0,10.0,0.55,49.0
Class F Fly-Ash,365.16,1.0,0.0,0.0,100.0,24,0.4,0.0,0.0,10.0,0.55,56.0
Class F Fly-Ash,309.85,1.0,0.0,0.0,100.0,24,0.4,0.0,0.0,10.0,0.55,47.0
Class F Fly-Ash,254.54,1.0,0.0,0.0,100.0,24,0.4,0.0,0.0,10.0,0.55,45.0
Class F Fly-Ash,400.0,1.0,0.0,0.0,70.0,48,0.4,0.0,35.0,8.0,0.5,44.87
Class F Fly-Ash,400.0,1.0,0.0,0.0,70.0,48,0.4,0.0,35.0,10.0,0.5,49.28
